2024-01-19 09:49:31.259567 - idCapteur: rpitb83_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.260567 - idCapteur: rpitb83_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.260567 - idCapteur: rpitb76_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.261571 - idCapteur: rpitb76_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.262574 - idCapteur: rpitb76_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.263577 - idCapteur: rpitb79_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.264574 - idCapteur: rpitb79_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.265569 - idCapteur: rpitb79_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.265569 - idCapteur: rpitb79_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.266579 - idCapteur: rpitb153_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.267570 - idCapteur: rpitb155_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.267570 - idCapteur: rpitb155_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.268571 - idCapteur: rpitb155_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.269572 - idCapteur: rpitb47_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.269572 - idCapteur: rpitb154_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.270573 - idCapteur: rpitb154_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.271573 - idCapteur: rpitb154_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.272593 - idCapteur: rpitb68_Controller, x: None, y: None, z: None, orientation: None, color: None
2024-01-19 09:49:31.273575 - idCapteur: 183, x: 1.407, y: 4.078, z: 2.65, orientation: None, color: FFFFFF
2024-01-19 09:49:31.274573 - idCapteur: 261, x: 14.797, y: 4.779, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.275377 - idCapteur: 258, x: 14.522, y: 8.849, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.275566 - idCapteur: 257, x: 12.362, y: 8.999, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.276567 - idCapteur: 256, x: 13.292, y: 6.86, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.277566 - idCapteur: 254, x: 11.752, y: 4.829, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.277566 - idCapteur: 266, x: 15.78, y: 2.209, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.278566 - idCapteur: 265, x: 12.53, y: 2.409, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.279570 - idCapteur: 264, x: 13.32, y: 2.234, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.280569 - idCapteur: 263, x: 11.54, y: -0.321, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.281567 - idCapteur: 262, x: 8.98, y: 1.029, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.282567 - idCapteur: 273, x: 7.584, y: -2.172, z: 2.11, orientation: 90.0, color: 00FFFF
2024-01-19 09:49:31.282567 - idCapteur: 171, x: -1.19, y: 4.578, z: 2.658, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.283568 - idCapteur: 170, x: -1.187, y: 8.649, z: 2.65, orientation: 0.0, color: 0000FF
2024-01-19 09:49:31.284566 - idCapteur: 111, x: 6.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.284566 - idCapteur: 110, x: 5.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.285566 - idCapteur: 109, x: 4.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.286567 - idCapteur: 108, x: 3.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
